Mix,Colour,R,G,B,Colour_class,larger_class,Fraction
0-0-0,grey1,0,0,0,1,1,0.02857
3-3-3,grey2,0.03,0.03,0.03,2,1,0.02857
6-6-6,grey3,0.06,0.06,0.06,3,1,0.02857
9-9-9,grey4,0.09,0.09,0.09,4,1,0.02857
12-12-12,grey5,0.12,0.12,0.12,5,1,0.02857
15-15-15,grey6,0.15,0.15,0.15,6,2,0.02857
18-18-18,grey7,0.18,0.18,0.18,7,2,0.02857
21-21-21,grey8,0.21,0.21,0.21,8,2,0.02857
24-24-24,grey9,0.24,0.24,0.24,9,2,0.02857
26-26-26,grey10,0.26,0.26,0.26,10,2,0.02857
29-29-29,grey11,0.29,0.29,0.29,11,3,0.02857
32-32-32,grey12,0.32,0.32,0.32,12,3,0.02857
35-35-35,grey13,0.35,0.35,0.35,13,3,0.02857
38-38-38,grey14,0.38,0.38,0.38,14,3,0.02857
41-41-41,grey15,0.41,0.41,0.41,15,3,0.02857
44-44-44,grey16,0.44,0.44,0.44,16,4,0.02857
47-47-47,grey17,0.47,0.47,0.47,17,4,0.02857
50-50-50,grey18,0.5,0.5,0.5,18,4,0.02857
53-53-53,grey19,0.53,0.53,0.53,19,4,0.02857
56-56-56,grey20,0.56,0.56,0.56,20,4,0.02857
59-59-59,grey21,0.59,0.59,0.59,21,5,0.02857
62-62-62,grey22,0.62,0.62,0.62,22,5,0.02857
65-65-65,grey23,0.65,0.65,0.65,23,5,0.02857
68-68-68,grey24,0.68,0.68,0.68,24,5,0.02857
71-71-71,grey25,0.71,0.71,0.71,25,5,0.02857
74-74-74,grey26,0.74,0.74,0.74,26,6,0.02857
76-76-76,grey27,0.76,0.76,0.76,27,6,0.02857
79-79-79,grey28,0.79,0.79,0.79,28,6,0.02857
82-82-82,grey29,0.82,0.82,0.82,29,6,0.02857
85-85-85,grey30,0.85,0.85,0.85,30,6,0.02857
88-88-88,grey31,0.88,0.88,0.88,31,7,0.02857
91-91-91,grey32,0.91,0.91,0.91,32,7,0.02857
94-94-94,grey33,0.94,0.94,0.94,33,7,0.02857
97-97-97,grey34,0.97,0.97,0.97,34,7,0.02857
100-100-100,grey35,1,1,1,35,7,0.02857
